Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
1,-47.560,-101.791,0.095
2,-54.487,-103.114,0.093
3,-72.069,-105.407,0.087
4,-89.930,-109.145,0.080
5,-90.887,-110.714,0.073
6,-68.017,-111.189,0.084
7,-76.411,-112.187,0.083
8,-76.753,-111.760,0.083
9,32.022,-110.621,0.109
10,194.794,-109.300,0.120
11,22.603,-113.783,0.103
12,-93.898,-118.853,0.078
13,-112.805,-121.276,0.051
14,-114.967,-122.318,0.049
15,-114.684,-121.815,0.047
16,-113.408,-120.579,0.046
17,-111.485,-118.861,0.046
18,-109.571,-116.839,0.045
19,-107.941,-114.840,0.044
20,-105.482,-112.187,0.043
21,-100.728,-108.483,0.052
22,-93.259,-104.396,0.063
23,-82.378,-101.949,0.079
24,-63.341,-101.289,0.091
25,-79.041,-107.154,0.077
26,-87.762,-109.885,0.074
27,-100.386,-113.420,0.065
28,-108.638,-116.353,0.049
29,-110.647,-117.546,0.047
30,-92.112,-117.100,0.085
31,46.613,-113.735,0.113
32,297.960,-108.624,0.134
33,97.348,-107.027,0.119
34,-62.813,-109.163,0.091
35,-90.432,-111.004,0.082
36,-98.378,-111.736,0.068
37,-103.785,-112.867,0.055
38,-107.042,-114.629,0.052
39,-109.396,-116.081,0.049
40,-110.726,-116.799,0.044
41,-110.877,-116.803,0.042
42,-109.681,-115.748,0.045
43,-104.415,-113.286,0.060
44,-86.865,-109.996,0.080
45,-77.148,-108.381,0.088
46,-90.685,-108.609,0.088
47,-91.248,-107.341,0.074
48,-82.818,-106.684,0.078
49,-77.879,-101.632,0.076
50,-85.199,-104.521,0.073
51,-96.311,-108.409,0.063
52,-104.551,-112.278,0.049
53,-108.491,-114.930,0.041
54,-108.570,-115.946,0.043
55,-99.920,-115.444,0.067
56,-28.349,-113.438,0.099
57,225.861,-109.550,0.122
58,180.872,-110.868,0.113
59,-56.010,-116.655,0.082
60,-110.151,-121.158,0.056
61,-116.315,-123.273,0.046
62,-116.375,-123.639,0.051
63,-115.651,-122.815,0.051
64,-114.407,-121.524,0.049
65,-112.716,-119.965,0.048
66,-110.697,-118.015,0.047
67,-107.768,-115.371,0.050
68,-101.159,-111.650,0.063
69,-82.379,-107.076,0.087
70,-68.102,-102.323,0.084
71,-79.855,-100.877,0.083
72,-79.739,-100.504,0.077
73,-76.230,-102.105,0.078
74,-85.612,-106.293,0.076
75,-97.398,-110.865,0.070
76,-105.277,-114.466,0.056
77,-107.702,-116.087,0.050
78,-93.392,-115.604,0.068
79,-45.440,-113.687,0.082
80,-41.036,-115.784,0.090
81,-84.310,-119.532,0.078
82,-99.065,-122.740,0.073
83,-100.992,-124.638,0.078
84,-106.474,-125.261,0.084
85,-109.912,-124.379,0.087
86,-110.628,-121.916,0.080
87,-110.692,-119.808,0.066
88,-110.020,-118.117,0.056
89,-108.446,-116.254,0.054
90,-105.113,-113.629,0.057
91,-98.340,-110.784,0.073
92,-93.784,-108.113,0.078
93,-93.836,-105.818,0.074
94,-90.720,-103.033,0.074
95,-84.196,-100.294,0.077
96,-77.099,-99.636,0.075
97,-96.357,-108.217,0.060
98,-98.697,-110.083,0.063
99,-101.746,-111.617,0.056
100,-102.403,-113.736,0.063
101,-105.856,-115.323,0.053
102,-101.910,-114.660,0.060
103,-50.345,-111.821,0.093
104,49.040,-107.285,0.102
105,-7.557,-107.394,0.098
106,-80.081,-108.945,0.081
107,-95.504,-110.085,0.078
108,-99.688,-111.320,0.068
109,-103.948,-113.310,0.063
110,-107.211,-115.036,0.055
111,-108.618,-115.664,0.048
112,-108.745,-115.441,0.045
113,-107.170,-114.444,0.051
114,-98.617,-112.441,0.075
115,-74.418,-108.864,0.082
116,-76.943,-107.914,0.077
117,-97.225,-108.856,0.065
118,-102.232,-108.859,0.046
119,-101.111,-108.053,0.042
120,-97.936,-107.454,0.051
121,-71.714,-106.766,0.089
122,-80.574,-110.809,0.093
123,-95.703,-115.258,0.095
124,-106.009,-118.051,0.069
125,-110.718,-119.596,0.055
126,-109.567,-118.696,0.053
127,-85.254,-115.927,0.081
128,38.265,-111.862,0.114
129,128.312,-109.236,0.115
130,-27.674,-113.169,0.108
131,-95.475,-115.601,0.088
132,-106.282,-116.414,0.059
133,-108.772,-117.262,0.051
134,-110.026,-117.757,0.047
135,-110.463,-117.838,0.045
136,-110.085,-117.295,0.044
137,-109.129,-116.203,0.043
138,-107.481,-114.416,0.045
139,-103.905,-111.826,0.052
140,-101.489,-109.581,0.049
141,-102.939,-109.172,0.041
142,-101.097,-108.493,0.043
143,-92.921,-106.661,0.060
144,-79.336,-105.280,0.077
145,-71.861,-104.406,0.083
146,-82.453,-107.682,0.078
147,-97.073,-111.773,0.067
148,-106.745,-115.396,0.051
149,-110.858,-117.672,0.042
150,-106.326,-117.869,0.062
151,-44.617,-116.254,0.100
152,380.760,-52.277,0.297
153,770.235,1.514,0.321
154,137.407,-110.430,0.112
155,-80.640,-114.326,0.079
156,-105.517,-116.369,0.057
157,-107.787,-116.926,0.053
158,-108.299,-117.011,0.053
159,-109.405,-117.154,0.049
160,-110.115,-117.252,0.045
161,-109.907,-116.970,0.043
162,-108.691,-115.823,0.044
163,-105.069,-113.478,0.055
164,-90.331,-110.083,0.083
165,-45.670,-105.414,0.102
166,-48.640,-102.770,0.097
167,-77.169,-102.335,0.088
168,-74.659,-102.621,0.083
169,-52.034,-101.635,0.094
170,-65.541,-105.043,0.092
171,-86.886,-109.422,0.086
172,-100.422,-112.714,0.066
173,-105.754,-114.313,0.049
174,-99.254,-113.770,0.058
175,-64.057,-111.933,0.078
176,-37.303,-111.298,0.089
177,-65.669,-112.352,0.088
178,-76.954,-112.768,0.089
179,-69.404,-111.941,0.087
180,-76.604,-111.512,0.085
181,-94.993,-112.702,0.071
182,-104.547,-114.235,0.053
183,-107.199,-115.203,0.046
184,-107.005,-115.067,0.046
185,-105.841,-114.145,0.046
186,-104.842,-112.747,0.045
187,-103.924,-111.275,0.043
188,-102.862,-110.201,0.043
189,-100.819,-109.062,0.047
190,-95.510,-107.162,0.059
191,-82.997,-104.237,0.071
192,-62.915,-101.538,0.085
193,-40.259,-105.865,0.102
194,-57.104,-109.604,0.099
195,-84.450,-113.914,0.092
196,-100.814,-117.311,0.083
197,-102.408,-118.437,0.075
198,-97.804,-119.024,0.076
199,-100.118,-118.230,0.071
200,-79.559,-116.057,0.084
201,6.129,-112.561,0.107
202,25.556,-111.946,0.110
203,-69.955,-115.373,0.091
204,-104.092,-117.802,0.072
205,-109.325,-118.878,0.055
206,-110.085,-119.128,0.052
207,-109.845,-118.799,0.051
208,-108.911,-118.084,0.052
209,-107.699,-117.058,0.052
210,-106.941,-115.900,0.050
211,-106.219,-114.198,0.046
212,-104.420,-111.650,0.043
213,-101.389,-108.878,0.043
214,-95.830,-106.695,0.055
215,-81.540,-104.706,0.077
216,-55.951,-103.697,0.092
217,-97.367,-107.640,0.055
218,-51.921,-105.665,0.101
219,873.186,-92.014,0.366
220,5180.976,-80.641,0.375
221,956.052,-98.354,0.548
222,-71.419,-117.199,0.097
223,-105.010,-117.317,0.063
224,-59.207,-115.176,0.092
225,65.224,-110.716,0.111
226,28.099,-110.191,0.109
227,-78.469,-113.238,0.092
228,-103.207,-114.794,0.072
229,-103.042,-113.789,0.067
230,-59.242,-111.847,0.112
231,397.971,-107.617,0.143
232,181.581,14.925,0.464
233,-90.795,-110.573,0.084
234,-103.043,-111.619,0.060
235,-90.536,-110.738,0.100
236,-24.148,-106.942,0.110
237,5.987,-103.241,0.105
238,-76.360,-104.549,0.081
239,-98.452,-106.301,0.052
240,-100.419,-107.789,0.046
241,-84.723,-106.493,0.077
242,-89.657,-108.309,0.072
243,-98.187,-110.786,0.064
244,-104.221,-112.995,0.051
245,-107.111,-114.660,0.046
246,-100.788,-114.864,0.067
247,-27.432,-112.794,0.099
248,210.422,-108.065,0.122
249,156.695,-105.054,0.117
250,-37.596,-106.205,0.097
251,-79.630,-107.896,0.089
252,-88.213,-108.684,0.077
253,-97.024,-110.639,0.071
254,-103.111,-112.810,0.064
255,-106.286,-114.503,0.058
256,-107.833,-115.411,0.053
257,-108.188,-115.611,0.050
258,-107.545,-115.034,0.050
259,-104.221,-113.318,0.060
260,-90.397,-110.451,0.081
261,-71.431,-107.820,0.092
262,-83.450,-107.498,0.093
263,-90.829,-106.690,0.086
264,-87.429,-105.969,0.082
265,-42.972,-105.401,0.102
266,-54.661,-108.546,0.100
267,-82.116,-112.608,0.093
268,-100.133,-115.597,0.079
269,-106.350,-116.030,0.057
270,-97.171,-114.680,0.068
271,-54.520,-111.878,0.089
272,-28.867,-109.626,0.100
273,-63.344,-108.973,0.089
274,-77.728,-108.802,0.093
275,-77.164,-108.513,0.087
276,-86.317,-110.371,0.082
277,-100.039,-113.557,0.070
278,-107.480,-116.062,0.052
279,-110.282,-117.445,0.045
280,-110.804,-117.750,0.043
281,-110.286,-117.245,0.042
282,-109.625,-116.208,0.040
283,-109.020,-115.116,0.039
284,-108.498,-114.462,0.039
285,-106.954,-113.605,0.042
286,-101.881,-111.750,0.054
287,-88.403,-108.848,0.075
288,-63.081,-105.641,0.089
289,-75.642,-107.618,0.083
290,-85.307,-110.919,0.079
291,-100.270,-115.104,0.073
292,-110.418,-118.621,0.053
293,-114.650,-120.702,0.043
294,-112.566,-120.862,0.052
295,-83.079,-119.696,0.095
296,165.423,-116.613,0.130
297,783.317,-69.663,0.323
298,326.270,-111.002,0.141
299,-52.667,-114.047,0.093
300,-104.048,-116.345,0.066
301,-108.900,-117.303,0.055
302,-109.960,-117.746,0.053
303,-111.195,-118.030,0.049
304,-111.866,-118.167,0.044
305,-111.673,-117.955,0.043
306,-110.651,-117.028,0.044
